load_step,load,total_energy,total_energy_change,total_init_energy,total_e_change_from_init,avg_energy,avg_energy_change,avg_init_energy,avg_e_change_from_init,min_iter_total_energy_change,min_iter_avg_energy_change,max_energy,max_force,avg_sigma11,avg_sigma12,avg_sigma22,avg_init_sigma11,avg_init_sigma12,avg_init_sigma22,avg_sigma12_change_from_init,avg_P11,avg_P12,avg_P21,avg_P22,avg_init_P11,avg_init_P12,avg_init_P21,avg_init_P22,participationFraction,m3_participationFraction,nr_elements_with_m3_change,nr_red_q1,nr_red_q2,nr_red_q3,nr_red_q4,max_m3_nr,sum_m3,max_positive_plastic_jump,max_negative_plastic_jump,nr_iterations,nr_func_evals,nr_edge_flips,nr_total_edge_flips,max_Ftotal_reconnect_error,edge_flip_chosen_minus_other_energy,edge_flip_always_chose_lower_energy,LBFGS_Term_reason,CG_Term_reason,FIRE_Term_reason,run_time,minimization_time,write_time,est_time_remaining,cmX,cmY,maxX,minX,maxY,minY
11,0.25,33.231624314,0.93127255117,34.514148012,-1.2825236986,0.0033909820728,9.5027811344e-05,0.003521851838,-0.00013086976517,0,0,0.17528118916,1.5497390686e-05,-0.055451144574,0.035168214743,0.052199750716,-0.044894514974,0.068834760529,0.041557578439,-0.033666545786,-0.058728933582,0.026921309059,0.025826722767,0.057845205824,-0.054656439133,0.060947945021,0.0611617695,0.051708805915,0.30399619603,0.43644092163,108,5656,3135,451,558,1,556,3,-1,2273,3963,1219,1219,6.3192490473e-16,0,1,8,0,0,47s,45.876s,1.232s,4m 49s,43.737622262,34.948955341,87.26275203,-0.077066683382,71.007514335,-1.30521678
12,0.26,31.347459953,-1.8841643604,36.125509767,-4.778049814,0.0031987204034,-0.00019226166943,0.0036862765069,-0.00048755610347,0,0,0.19137079212,9.431414031e-06,-0.057007973632,0.037614752798,0.053940753505,-0.045124101685,0.082137983284,0.041872707827,-0.044523230486,-0.061191250538,0.027685456467,0.027429623758,0.059585602716,-0.057522620675,0.073957579334,0.074276131609,0.0542239756,0.3402361587,0.58860765732,209,5768,3230,500,302,1,487,3,-1,4147,6908,1810,1810,6.8917329974e-16,0,1,8,0,0,51s,49.865s,1.349s,4m 47s,44.087081992,34.948957398,87.980033222,-0.069071128818,70.908456493,-1.3289744195
13,0.27,31.205635653,-0.14182430029,34.361755377,-3.1561197242,0.003184248536,-1.4471867377e-05,0.0035063015691,-0.00032205303308,0,0,0.16661072593,1.3219976903e-05,-0.065219173995,0.034923198133,0.062375194849,-0.046566796665,0.084604994453,0.043499576538,-0.04968179632,-0.069365889527,0.02395509023,0.022549279004,0.067179687578,-0.059801576157,0.074695104771,0.075945091919,0.056133014196,0.33058348305,0.4959913183,164,5640,3432,362,366,1,488,3,-1,2966,5183,1895,1895,6.1454786309e-16,0,1,8,0,0,54s,52.837s,1.464s,4m 38s,44.441826841,34.941818657,88.552146716,-0.19961555421,70.84550503,-1.2307136817
14,0.28,32.420669521,1.215033868,34.103281982,-1.6826124611,0.0033082315838,0.00012398304775,0.0034799267329,-0.0001716951491,0,0,0.17503484554,1.6410215642e-05,-0.068827212835,0.035998361356,0.06597399632,-0.054154295318,0.082671652349,0.051310316172,-0.046673290993,-0.073803247228,0.024438067876,0.023194336331,0.070869101808,-0.067797711109,0.071721896614,0.071962792645,0.063599218237,0.33747479681,0.46200004593,158,5878,3325,292,305,1,469,3,-1,2473,3970,1820,1820,8.5803648328e-16,0,1,8,0,0,56s,55.194s,1.581s,4m 26s,44.791236584,34.941793979,89.150144087,-0.28816113567,71.191699536,-1.2364686991
15,0.29,33.8793798,1.4587102788,35.366461203,-1.487081403,0.0034570795714,0.00014884798763,0.0036088225717,-0.00015174300031,0,0,0.17623706828,9.6062031745e-06,-0.069157515612,0.05228363969,0.066278470004,-0.057391328528,0.08351628185,0.054538112013,-0.03123264216,-0.077903656523,0.038805752659,0.039051556982,0.073893762637,-0.072050486399,0.071976342055,0.072480931615,0.067118531497,0.279383855,0.41546867379,92,6554,2917,167,162,1,430,3,-1,2054,3475,975,975,1.2637420604e-15,0,1,8,0,0,59s,57.312s,1.699s,4m 15s,45.140647973,34.941818203,89.744384316,-0.384440235,71.22927454,-1.3172042212
16,0.3,32.783233522,-1.0961462783,37.59589111,-4.8126575888,0.0033452279104,-0.00011185166105,0.0038363154194,-0.00049108750906,0,0,0.17470925408,1.3110759633e-05,-0.081645762787,0.037283380006,0.078982166586,-0.057855987451,0.098657992136,0.054976941843,-0.061374612129,-0.087476433107,0.021938145943,0.021740711698,0.08310526813,-0.076523089105,0.085151109107,0.087264245201,0.070318230784,0.53674141854,0.45125443186,127,5327,4106,168,199,1,463,3,-1,3456,5982,1255,1255,9.045519836e-16,0,1,8,0,0,1m 2s,1m 0.681s,1.818s,4m 10s,45.490046429,34.941819649,90.297803715,-0.53437495622,71.38886922,-1.2738888008
17,0.31,33.599891477,0.81665795515,35.800921355,-2.2010298778,0.0034285603548,8.3332444403e-05,0.0036531552403,-0.00022459488549,0,0,0.17513019214,1.9711197124e-05,-0.075931166415,0.065824157287,0.073424181731,-0.069361402919,0.085182340554,0.066697806718,-0.019358183267,-0.088276340476,0.049492361002,0.050756747088,0.082551500835,-0.085746231786,0.069852203213,0.071674248898,0.079104931138,0.072168322816,0.3286813498,90,7429,2113,162,96,1,340,3,-1,4914,8196,1649,1649,9.5881515588e-16,0,1,8,0,0,1m 7s,1m 5.681s,1.940s,4m 14s,45.834523258,34.948993368,91.110126808,-0.40201422506,71.436097953,-1.4016417054
18,0.32,26.34357208,-7.2563193971,37.962302028,-11.618729949,0.0026881196,-0.00074044075481,0.0038737042886,-0.0011855846886,0,0,0.13232914841,5.8961437036e-05,-0.083167225243,0.05057673068,0.081629621154,-0.063967988554,0.11143006119,0.06146100387,-0.060853330507,-0.09236633401,0.032699059724,0.034802005222,0.088355832536,-0.086825890118,0.095062463113,0.098480606502,0.078970974996,0.28748930342,0.44123332042,240,7031,2594,98,77,1,356,3,-1,3854,6399,2474,2474,9.6699023113e-16,0,1,8,0,0,1m 11s,1m 9.455s,2.056s,4m 11s,46.184060299,34.949026891,92.092481743,-0.45642046979,71.572394687,-1.5944063827
19,0.33,27.121714558,0.77814247884,30.016010633,-2.8942960747,0.0027675218937,7.9402293759e-05,0.0030628582279,-0.00029533633415,0,0,0.21671647673,1.2281554097e-05,-0.081044611375,0.068300812075,0.079295252224,-0.070150761623,0.098580414623,0.068613157533,-0.030279602549,-0.094738601542,0.050723472825,0.052812668723,0.08934310325,-0.089713663518,0.080745273347,0.08508139709,0.084565240105,0.18520159016,0.47117294127,86,7911,1778,53,58,1,275,3,-1,2843,4535,1721,1721,7.7356201058e-16,0,1,8,0,0,1m 14s,1m 12.058s,2.175s,4m 4s,46.540643237,34.948974235,92.40316844,-0.48244265096,71.508324759,-1.6169768367
20,0.34,29.462313031,2.340598473,31.619207112,-2.1568940803,0.0030063584726,0.00023883657888,0.0032264497053,-0.00022009123268,0,0,0.22718728957,1.5934216601e-05,-0.094185202621,0.055176588746,0.092396321214,-0.068366356842,0.11461685541,0.066616997691,-0.059440266661,-0.10538805774,0.035617493656,0.036457189476,0.099174997598,-0.092400861166,0.09699267343,0.10142660809,0.085713082182,0.48349316952,0.60791660935,91,6782,2917,53,48,1,348,3,-1,1710,2974,1115,1115,8.1174812892e-16,0,1,8,0,0,1m 16s,1m 13.770s,2.292s,3m 53s,46.890128869,34.948964635,93.110705593,-0.48808971426,71.524390346,-1.6098477766
