load_step,load,total_energy,total_energy_change,total_init_energy,total_e_change_from_init,avg_energy,avg_energy_change,avg_init_energy,avg_e_change_from_init,min_iter_total_energy_change,min_iter_avg_energy_change,max_energy,max_force,avg_sigma11,avg_sigma12,avg_sigma22,avg_init_sigma11,avg_init_sigma12,avg_init_sigma22,avg_sigma12_change_from_init,avg_P11,avg_P12,avg_P21,avg_P22,avg_init_P11,avg_init_P12,avg_init_P21,avg_init_P22,participationFraction,m3_participationFraction,nr_elements_with_m3_change,nr_red_q1,nr_red_q2,nr_red_q3,nr_red_q4,max_m3_nr,sum_m3,max_positive_plastic_jump,max_negative_plastic_jump,nr_iterations,nr_func_evals,nr_edge_flips,nr_total_edge_flips,edge_flip_chosen_minus_other_energy,edge_flip_always_chose_lower_energy,LBFGS_Term_reason,CG_Term_reason,FIRE_Term_reason,run_time,minimization_time,write_time,est_time_remaining,cmX,cmY,maxX,minX,maxY,minY
11,0.25,33.243692733,0.94862069506,34.508730695,-1.2650379612,0.0033922135442,9.6798030108e-05,0.0035212990505,-0.00012908550624,0,0,0.17536591919,1.6208051589e-05,-0.055431895594,0.035169082356,0.052173977928,-0.044893663037,0.06883199727,0.041556711461,-0.033662914914,-0.058677760422,0.026893880147,0.0256926991,0.057834449384,-0.054637179541,0.060912385125,0.061019576291,0.051726700661,0.3039868856,0.43406098982,107,5650,3146,450,554,1,554,3,-1,2260,3752,1218,1218,0,1,8,0,0,47s,45.867s,1.138s,4m 47s,43.73762046,34.948951277,87.262529683,-0.077361677305,71.007769546,-1.3053099012
12,0.26,28.900089973,-4.3436027607,36.137802985,-7.2377130122,0.0029489887727,-0.0004432247715,0.0036875309168,-0.0007385421441,0,0,0.15552026545,1.547400639e-05,-0.06449683226,0.018352668424,0.061848864714,-0.045102740015,0.082141285796,0.04184482235,-0.063788617371,-0.06572441046,0.0079884107429,0.0064523812915,0.06441108068,-0.057470130925,0.07393444811,0.074138729488,0.054228191365,0.43768684643,0.5934860936,260,4116,4946,406,332,1,550,3,-1,4066,6500,2278,2278,0,1,8,0,0,50s,49.675s,1.248s,4m 44s,44.087045242,34.948883661,87.957951728,-0.093818605934,70.917523807,-1.3157685927
13,0.27,30.885367934,1.9852779617,31.008778922,-0.12341098815,0.0031515681566,0.00020257938385,0.0031641611145,-1.2592957974e-05,0,0,0.16424811063,1.4744071615e-05,-0.059378989794,0.052459529743,0.056608402132,-0.053787218201,0.067233922925,0.051139250654,-0.014774393182,-0.067070702646,0.041640019261,0.041493724268,0.064289255055,-0.064254911658,0.056863147942,0.056846805385,0.060881740311,0.038264489869,0.40889857558,80,6940,2270,365,225,1,435,3,-1,2005,3298,1715,1715,0,1,8,0,0,52s,51.458s,1.355s,4m 27s,44.434651725,34.941834105,88.629466253,-0.11934520315,70.903877899,-1.3096877043
14,0.28,29.920464634,-0.96490329988,34.615480539,-4.695015905,0.0030531086362,-9.8459520396e-05,0.0035321918918,-0.00047908325561,0,0,0.15642393657,1.9792597116e-05,-0.075674659262,0.023113471539,0.073016020053,-0.048761416099,0.098906466936,0.045990828437,-0.075792995398,-0.077715867444,0.010454969725,0.0091036331613,0.075183998368,-0.065890170663,0.088011754946,0.089578187834,0.060809091352,0.4791469653,0.52540133264,151,3851,5526,215,208,1,430,3,-1,3285,5530,2459,2459,0,1,8,0,0,56s,54.708s,1.467s,4m 21s,44.791197706,34.941834475,88.943508861,-0.51289296749,70.957779511,-1.2401830582
15,0.29,31.942631414,2.0221667797,32.283679933,-0.34104851885,0.0032594521851,0.00020634354895,0.0032942530544,-3.480086927e-05,0,0,0.1775985818,8.8502305088e-06,-0.070997590566,0.05402818097,0.068358316604,-0.064344417764,0.072673158202,0.061685778554,-0.018644977232,-0.079305817704,0.040806549022,0.04039142914,0.075371385852,-0.076054710565,0.059938577693,0.060362489736,0.071681809992,0.17531060605,0.62090440888,45,7448,2001,178,173,1,362,3,-1,2036,3287,2021,2021,0,1,8,0,0,58s,56.602s,1.575s,4m 9s,45.140629563,34.94183136,89.587256371,-0.55783939628,70.989516393,-1.2371834966
16,0.3,28.573834926,-3.3687964881,35.763226738,-7.1893918116,0.0029156974414,-0.00034375474369,0.0036493088508,-0.00073361140935,0,0,0.15963575057,2.0651742857e-05,-0.082577804099,0.036154466103,0.08053046111,-0.059873180365,0.10097940527,0.057233906403,-0.064824939164,-0.088697863388,0.020241741648,0.020868967338,0.084647891123,-0.077881246873,0.08763641767,0.089141453242,0.071854602781,0.4210945377,0.44449574154,177,5578,3907,138,177,1,374,3,-1,3810,5991,1898,1898,0,1,8,0,0,1m 1s,1m 0.212s,1.686s,4m 6s,45.492191493,34.948976205,90.27027285,-0.54706536101,70.936686103,-1.0908754671
17,0.31,27.984324543,-0.58951038298,31.55895169,-3.5746271466,0.0028555433207,-6.0154120712e-05,0.0032203011928,-0.0003647578721,0,0,0.16936638762,9.7892464914e-06,-0.0938989484,0.021947663136,0.092081473473,-0.070457189081,0.084993995153,0.068409846091,-0.063046332017,-0.09822048603,0.0048072290343,0.0028634508034,0.092637543004,-0.08678326204,0.068979883094,0.071710363246,0.080951593603,0.42530343297,0.45213264142,192,3300,6257,114,129,1,339,3,-1,3387,5579,2638,2638,0,1,8,0,0,1m 5s,1m 3.510s,1.792s,4m 2s,45.841705748,34.948970237,91.006580587,-0.51780076618,71.173982771,-1.3823125612
18,0.32,28.621386543,0.6370620002,30.30306433,-1.6816777864,0.0029205496473,6.5006326551e-05,0.0030921494214,-0.00017159977413,0,0,0.1708658388,9.1317167921e-06,-0.09512283821,0.035895534041,0.093492400663,-0.081198088893,0.072275660285,0.079380613966,-0.036380126244,-0.10217722288,0.018134034488,0.017336908168,0.09656868671,-0.096138746993,0.05503350532,0.055300574815,0.088781653955,0.58388701697,0.5851170144,182,4774,4794,95,137,1,285,3,-1,2937,4851,3303,3303,0,1,8,0,0,1m 8s,1m 6.418s,1.899s,3m 57s,46.200889097,34.93468004,92.118731564,-0.11298509048,71.347176728,-1.3884676893
19,0.33,29.574210068,0.95282352472,31.604639248,-2.0304291801,0.0030177765376,9.7226890278e-05,0.0032249631886,-0.00020718665103,0,0,0.16779927154,1.4174428627e-05,-0.10305947784,0.029496575314,0.10142142613,-0.082577403015,0.08532637305,0.080946965469,-0.055829797735,-0.10876304387,0.011115932585,0.0091078819188,0.10261728749,-0.099995301624,0.067373968599,0.068900083962,0.092995241878,0.45120370763,0.56674283444,188,3847,5745,94,114,1,327,3,-1,2998,5369,2952,2952,0,1,8,0,0,1m 11s,1m 9.590s,2.008s,3m 52s,46.550241291,34.934680939,92.937020688,0.019633625926,71.15542864,-1.3428405365
20,0.34,30.2425709,0.66836083224,32.266306111,-2.0237352107,0.0030859766225,6.8200084923e-05,0.0032924802154,-0.00020650359293,0,0,0.17201972291,1.4923357327e-05,-0.1045366246,0.045825565197,0.10309699895,-0.090554368161,0.079853836744,0.088916316448,-0.034028271547,-0.1136745232,0.026219486088,0.024623651791,0.10695071847,-0.1068606849,0.061162343027,0.061593549551,0.099177017181,0.30539558581,0.5977907666,90,5693,3980,67,60,1,321,3,-1,3476,5796,2150,2150,0,1,8,0,0,1m 14s,1m 12.819s,2.116s,3m 48s,46.892443491,34.934689131,93.725313368,0.10583971834,71.236034806,-1.458786105
21,0.35,29.918593644,-0.32397725592,33.707726335,-3.7891326908,0.0030529177188,-3.3058903665e-05,0.0034395639117,-0.00038664619294,0,0,0.17043559683,8.5772807902e-06,-0.11106064548,0.045702597679,0.10987125588,-0.091923978006,0.095008495745,0.090484352347,-0.049305898066,-0.12118452857,0.02406678788,0.023564527787,0.11315527371,-0.11178566996,0.075063117483,0.076055136373,0.10323726023,0.33135235238,0.67048905087,108,4939,4784,41,36,1,315,3,-1,3893,6187,2414,2414,0,1,8,0,0,1m 18s,1m 16.467s,2.223s,3m 46s,47.246787528,34.948994701,94.313287321,0.013447332929,71.674735853,-1.5732613907
22,0.36,33.044475397,3.1258817522,33.411891585,-0.3674161888,0.0033718852445,0.00031896752574,0.0034093766924,-3.7491447837e-05,0,0,0.17457104736,9.8321225539e-06,-0.10154590401,0.085668003377,0.1003862848,-0.097313219827,0.096031031443,0.096123830225,-0.010363028065,-0.12048381742,0.061793561172,0.065086562752,0.11176617275,-0.11856895308,0.074097111797,0.076428951408,0.10878508204,0.032333913789,0.54400403174,65,8782,943,44,31,1,169,3,-1,2395,3800,2638,2638,0,1,8,0,0,1m 20s,1m 18.600s,2.329s,3m 38s,47.596278008,34.948968128,95.0379923,0.053891470179,71.603689702,-1.620586309
23,0.37,35.248635189,2.2041597922,38.391574944,-3.1429397556,0.0035967995091,0.00022491426451,0.0039175076474,-0.00032070813833,0,0,0.17037429511,1.7163541286e-05,-0.12199299269,0.056225413276,0.12076152585,-0.088751275761,0.13168463722,0.08759165656,-0.075459223948,-0.13549346275,0.029376263954,0.029546967533,0.12560240389,-0.11864814043,0.10744696861,0.11359921416,0.1081347279,0.4961762922,0.51171001418,98,5455,4233,53,59,1,211,3,-1,3008,5288,2195,2195,0,1,8,0,0,1m 24s,1m 21.765s,2.437s,3m 35s,47.951053265,34.963269154,95.581440183,-0.10251296209,72.089818636,-1.8698223745
24,0.38,38.396336896,3.1477017068,39.21859552,-0.82225862482,0.0039179935608,0.00032119405172,0.0040018975021,-8.3903941308e-05,0,0,0.17566534994,1.2623638876e-05,-0.12541605974,0.066796021894,0.12416526419,-0.107524766,0.10503595961,0.10629329916,-0.038239937711,-0.14185739135,0.037555897738,0.03784853682,0.13089561145,-0.13273303372,0.077983604196,0.08120232468,0.12139905288,0.34488236616,0.91328761909,83,5926,3807,37,30,1,240,3,-1,2228,3692,2274,2274,0,1,8,0,0,1m 26s,1m 24.057s,2.548s,3m 28s,48.300693321,34.963248522,96.399828526,0.030963897663,72.231819966,-2.1667192825
25,0.39,41.70257061,3.3062337147,42.847408559,-1.1448379491,0.004255364348,0.00033737078721,0.0043721845469,-0.00011682019889,0,0,0.17301266793,1.0985603842e-05,-0.13519067084,0.063970986738,0.13395031154,-0.11080664927,0.11430345484,0.10955585372,-0.050332468101,-0.15192041628,0.03245068213,0.03159237128,0.13918278073,-0.13924708061,0.084871404137,0.088322180724,0.12659577938,0.41480503687,0.93281697578,88,4166,5555,40,39,1,293,3,-1,2085,3799,1988,1988,0,1,8,0,0,1m 28s,1m 26.209s,2.654s,3m 22s,48.647536263,34.95611945,97.14524038,0.072926753478,72.444540847,-2.2122731089
