gamma,Ftotal11_mean,Tfull11_mean,Ftotal12_mean,Tfull12_mean,Ftotal21_mean,Tfull21_mean,Ftotal22_mean,Tfull22_mean
0.0,1.0,1.0,1.8672381612188367e-07,1.8672381612188367e-07,-1.9627764645872575e-07,-1.9627764645872575e-07,1.0,1.0
0.1,0.9997752908587257,0.9997752908587257,0.004375503573407202,0.004375503573407202,-0.0016067725334349028,-0.0016067725334349028,0.9995328254847646,0.9995328254847646
0.2,0.9995820360110803,0.9995820360110803,0.008913367146814405,0.008913367146814405,-0.00327328878365651,-0.00327328878365651,0.9991149861495846,0.9991149861495846
0.3,0.9994367451523545,0.9994367451523545,0.013614012465373962,0.013614012465373962,-0.00500708226869806,-0.00500708226869806,0.9987329916897507,0.9987329916897507
0.4,0.9993471468144044,0.9993471468144044,0.018493898033240995,0.018493898033240995,-0.006779032520775624,-0.006779032520775624,0.9984247783933519,0.9984247783933519
0.5,0.9992506648199444,0.9992506648199444,0.023537928310249312,0.023537928310249312,-0.008570333628808864,-0.008570333628808864,0.9982506648199446,0.9982506648199446
0.6,0.9991040720221608,0.9991041689750693,0.028719078698060937,0.028719106398891962,-0.010406581634349031,-0.010406373047091412,0.9982187673130195,0.9982186814404432
0.7,0.9990432409972301,0.9990429501385042,0.034554317434903045,0.03455435240720222,-0.01231954227700831,-0.012319333135734073,0.9985442936288087,0.9985440475207755
0.8,1.0000930886426591,1.0000923130193906,0.043328151059556785,0.04332875337950138,0.0035138269468144045,0.0035150995013850414,1.0012551800554017,1.0012555819806095
0.9,1.0001183933518005,1.0001174238227146,0.04807026112326869,0.04807062145152354,0.001718805820775623,0.0017202068559556785,1.0006230193905816,1.000622824102493
1.0,0.9999646952908587,0.999959293628809,0.0525774233779363,0.05257747235814404,3.60011639196676e-05,3.748698490858725e-05,1.0000422299168974,1.0000409485235457
1.1,0.9998753324099723,0.9998713157894737,0.057164736822714675,0.05716491360110802,-0.0016997567076177285,-0.0016981880387811634,0.9994068975069252,0.9994055087119114
1.2,0.9996352354570638,0.9996345983379501,0.055773779566523546,0.05577439788559557,0.0026607073836565098,0.002662246889196676,0.9991486565096954,0.9991477828116343
1.3,0.9993309556786703,0.9993285318559557,0.054206295293074795,0.05420653283102493,0.0073758690997229905,0.007377354515235457,0.9991276592797784,0.9991270195290859
1.4,0.9992275207756233,0.9992254155124654,0.05271115448905818,0.05271202408033242,0.011962171632963989,0.011963657332409972,0.9988916066481994,0.9988902231301939
1.5,0.9990570221606648,0.9990541828254846,0.05101319833240997,0.05101313211080332,0.017078193603878116,0.017079594986149586,0.9989972576177285,0.9989961251385041
1.6,0.9991847091412743,0.9991689228531856,0.04917655077049861,0.04917492396121883,0.02209688512742382,0.023517913829362882,0.9991007479224377,0.9990961895706371
1.7,0.9993684072022159,0.9993517506925208,0.04734135725013851,0.04733982271725761,0.02768560331024931,0.02908495814404432,0.9992811495844875,0.9992729916897507
1.8,1.0013139889196674,1.00133079099723,0.062463315076869814,0.06245727098614958,0.036769344736842104,0.03809984236842106,1.0022962465373961,1.0022120861357342
1.9,1.0009104986149584,1.0009229727146813,0.06070524068130194,0.06069953659307479,0.04151824119529086,0.04285313299722992,1.0023052354570636,1.0022314755152353
2.0,1.0004902770083102,1.000495701800554,0.05903604010983379,0.05903196101476455,0.04628344162603878,0.04763458859972299,1.002368407202216,1.0023045961080332
2.1,1.0004168421052633,1.000425536703601,0.06373002470900278,0.06372731150415513,0.04459402267867036,0.04594333468144045,1.0019507340720222,1.0018869472299168
2.2,1.000329349030471,1.000342549030471,0.06850551883144045,0.0685035609030471,0.04287571850415513,0.044224212662049865,1.0015807479224377,1.0015186863462604
2.3,1.0004439058171746,1.0004580933518006,0.07360212327077563,0.07360038117396121,0.04099024230609418,0.04233825135734072,1.0011508587257618,1.0010868787257619
2.4,1.000472216066482,1.0004897609418284,0.07875740897977838,0.07875480116897507,0.03912445034072022,0.04047302494681441,1.0008698891966759,1.0008062350415514
2.5,1.0007760664819945,1.0007831556786704,0.0841205607267313,0.08412093033240997,0.03697033174930748,0.038313551390581714,1.000545969529086,1.0004721106648198
2.6,1.0010149307479226,1.0010263210526316,0.08997497833614959,0.0899812420166205,0.0348000390969529,0.036145430963988916,1.0003975207756233,1.000324458365651
2.7,1.0027462742382272,1.0027130969529086,0.09705692252216067,0.09702229213296398,0.05167395430470914,0.05302154454847646,1.004058185595568,1.0039801335734073
2.8,1.002903462603878,1.0028721140304708,0.10194992065498615,0.10191592458171744,0.049832839978393356,0.05117984140637119,1.0034857340720222,1.0034078104072022
2.9,1.0031795429362882,1.0031557864598337,0.10695542343518005,0.10692435624930749,0.04795033835734072,0.04929688766481994,1.0028046121883658,1.0027268594459833
