gamma,Ftotal11_mean,T11_mean,Ftotal12_mean,T12_mean,Ftotal21_mean,T21_mean,Ftotal22_mean,T22_mean
0.0,1.0,1.0,1.8672381612188367e-07,0.0,-1.9627764645872575e-07,0.0,1.0,1.0
0.1,0.9997752908587257,1.0,0.004375503573407202,0.0,-0.0016067725334349028,0.0,0.9995328254847646,1.0
0.2,0.9995820360110803,1.0,0.008913367146814405,0.0,-0.00327328878365651,0.0,0.9991149861495846,1.0
0.3,0.9994367451523545,1.0,0.013614012465373962,0.0,-0.00500708226869806,0.0,0.9987329916897507,1.0
0.4,0.9993471468144044,1.0,0.018493898033240995,0.0,-0.006779032520775624,0.0,0.9984247783933519,1.0
0.5,0.9992506648199444,1.0,0.023537928310249312,0.0,-0.008570333628808864,0.0,0.9982506648199446,1.0
0.6,0.9991040720221608,1.0,0.028719078698060937,0.004155124653739612,-0.010406581634349031,0.0,0.9982187673130195,1.0
0.7,0.9990432409972301,1.0,0.034554317434903045,0.012465373961218837,-0.01231954227700831,0.0,0.9985442936288087,1.0
0.8,1.0000930886426591,1.0,0.043328151059556785,0.05263157894736842,0.0035138269468144045,0.0,1.0012551800554017,1.0
0.9,1.0001183933518005,1.0,0.04807026112326869,0.05263157894736842,0.001718805820775623,0.0,1.0006230193905816,1.0
1.0,0.9999646952908587,1.0,0.0525774233779363,0.05263157894736842,3.60011639196676e-05,0.0,1.0000422299168974,1.0
1.1,0.9998753324099723,1.0,0.057164736822714675,0.05263157894736842,-0.0016997567076177285,0.0,0.9994068975069252,1.0
1.2,0.9996352354570638,1.0,0.055773779566523546,0.05263157894736842,0.0026607073836565098,0.0,0.9991486565096954,1.0
1.3,0.9993309556786703,1.0,0.054206295293074795,0.05263157894736842,0.0073758690997229905,0.0,0.9991276592797784,1.0
1.4,0.9992275207756233,1.0,0.05271115448905818,0.05263157894736842,0.011962171632963989,0.0,0.9988916066481994,1.0
1.5,0.9990570221606648,1.0,0.05101319833240997,0.05263157894736842,0.017078193603878116,0.0,0.9989972576177285,1.0
1.6,0.9991847091412743,1.0,0.04917655077049861,0.05263157894736842,0.02209688512742382,0.0013850415512465374,0.9991007479224377,1.0
1.7,0.9993684072022159,1.0,0.04734135725013851,0.05263157894736842,0.02768560331024931,0.006925207756232687,0.9992811495844875,1.0
1.8,1.0013139889196674,1.0,0.062463315076869814,0.05263157894736842,0.036769344736842104,0.054016620498614956,1.0022962465373961,1.002770083102493
1.9,1.0009104986149584,1.0,0.06070524068130194,0.05263157894736842,0.04151824119529086,0.054016620498614956,1.0023052354570636,1.002770083102493
2.0,1.0004902770083102,1.0,0.05903604010983379,0.05263157894736842,0.04628344162603878,0.054016620498614956,1.002368407202216,1.002770083102493
2.1,1.0004168421052633,1.0,0.06373002470900278,0.05263157894736842,0.04459402267867036,0.054016620498614956,1.0019507340720222,1.002770083102493
2.2,1.000329349030471,1.0,0.06850551883144045,0.05263157894736842,0.04287571850415513,0.054016620498614956,1.0015807479224377,1.002770083102493
2.3,1.0004439058171746,1.0,0.07360212327077563,0.05263157894736842,0.04099024230609418,0.054016620498614956,1.0011508587257618,1.002770083102493
2.4,1.000472216066482,1.0,0.07875740897977838,0.05263157894736842,0.03912445034072022,0.054016620498614956,1.0008698891966759,1.002770083102493
2.5,1.0007760664819945,1.0,0.0841205607267313,0.055401662049861494,0.03697033174930748,0.054016620498614956,1.000545969529086,1.002770083102493
2.6,1.0010149307479226,1.0,0.08997497833614959,0.062326869806094184,0.0348000390969529,0.054016620498614956,1.0003975207756233,1.002770083102493
2.7,1.0027462742382272,1.002770083102493,0.09705692252216067,0.10526315789473684,0.05167395430470914,0.054016620498614956,1.004058185595568,1.002770083102493
2.8,1.002903462603878,1.002770083102493,0.10194992065498615,0.10526315789473684,0.049832839978393356,0.054016620498614956,1.0034857340720222,1.002770083102493
2.9,1.0031795429362882,1.002770083102493,0.10695542343518005,0.10526315789473684,0.04795033835734072,0.054016620498614956,1.0028046121883658,1.002770083102493
3.0,1.003165595567867,1.002770083102493,0.11164732251011082,0.10526315789473684,0.04616981076869806,0.054016620498614956,1.0022485872576177,1.002770083102493
3.1,1.0029615512465373,1.002770083102493,0.11018598629847645,0.10526315789473684,0.05077907900401662,0.054016620498614956,1.0022104432132963,1.002770083102493
3.2,1.0026544736842105,1.002770083102493,0.10856395998296399,0.10526315789473684,0.05554596718144045,0.054016620498614956,1.0022857756232686,1.002770083102493
3.3,1.0024569390581717,1.002770083102493,0.10699824651454294,0.10526315789473684,0.06028320685180055,0.054016620498614956,1.0022894736842105,1.002770083102493
3.4,1.0022451800554018,1.002770083102493,0.10530808415734072,0.10526315789473684,0.06530781042243766,0.054016620498614956,1.0024598891966758,1.002770083102493
3.5,1.0020720637119114,1.002770083102493,0.10351930322243767,0.10526315789473684,0.07057710473393353,0.054016620498614956,1.002745706371191,1.002770083102493
3.6,1.002065595567867,1.002770083102493,0.10171247986523545,0.10526315789473684,0.07597289101246538,0.054016620498614956,1.0029924515235458,1.002770083102493
3.7,1.0022398476454293,1.002770083102493,0.09961404615512465,0.10526315789473684,0.08171841202216067,0.062326869806094184,1.0037053462603878,1.002770083102493
3.8,1.0044283379501386,1.002770083102493,0.11583903463296398,0.10526315789473684,0.08849274972437673,0.10664819944598337,1.0084737396121883,1.0096952908587258
3.9,1.0039550277008311,1.002770083102493,0.11392990657202216,0.10526315789473684,0.09357492693060943,0.10664819944598337,1.0088156094182825,1.0096952908587258
4.0,1.0034223130193907,1.002770083102493,0.11202398943739614,0.10526315789473684,0.09868362844667589,0.10664819944598337,1.0092030332409971,1.0096952908587258
