gamma,target_reference_nodes,T_poincare_x,T_poincare_y,Ttotal_poincare_x,Ttotal_poincare_y,Ftotal_poincare_x,Ftotal_poincare_y,F_poincare_x,F_poincare_y,node_1989_dqx,node_1989_dqy,node_2058_dqx,node_2058_dqy,node_2125_dqx,node_2125_dqy,node_2194_dqx,node_2194_dqy,node_2195_dqx,node_2195_dqy
0.85,2125 2058 2195,0.2,0.4,0.27831903369611366,0.533040197307041,0.27991857204300424,0.5323553588146631,-0.08003959413515904,0.19539484050345005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.86,2125 2058 2195,0.3333333333333333,0.6666666666666666,0.30317550198062443,0.5855960411739151,0.3048409664197871,0.584855226218009,-0.12115122875929589,0.2756967064555823,-0.14488945504544404,0.11627339768655354,-0.092993121477285,0.12567011272915707,0.04321262036722828,-0.06517941383603976,0.02347023972910023,-0.0525929180873419,-0.05760577816050727,0.039342009738758676
0.87,2125 2058 2195,0.3333333333333333,0.6666666666666666,0.30731570828634686,0.6027827974852583,0.30901086765113,0.6020468370532261,-0.1392537430820401,0.29804068594005684,-0.25235253760589416,0.20996347896580758,-0.19243842699455627,0.22655002700851234,-0.017454195777027337,-0.00731523744648932,-0.029240650186139305,0.00225341754481434,-0.14003420467555827,0.12940166525790708
0.88,2125 2058 2195,0.3333333333333333,0.6666666666666666,0.3102948307088536,0.6177954517964752,0.3119844760789629,0.6170559310620171,-0.15616196935962848,0.31701058092841355,-0.3589030634769088,0.28618919843119883,-0.30012945343924,0.30420130550109903,-0.09539468658918793,0.0372016338939023,-0.08767592751671316,0.02612125900370188,-0.23358313441194412,0.2041799803441986
0.89,2125 2058 2195,0.3333333333333333,0.6666666666666666,0.30687571559146865,0.6063312529070811,0.30854472836543057,0.6055733647387467,-0.14438196700865566,0.30096924875540715,-0.8593286371398605,0.140630817683288,-0.7979676584714497,0.17134032619628847,-0.613472189601886,-0.07103010438190971,-0.6448076830377261,-0.03959247776820973,-0.7637290732619775,0.0760959779462862
0.9,2125 2058 2195,0.3333333333333333,0.6666666666666666,0.33091528790584634,0.6676239272310001,0.3326770377421304,0.6668345796576858,-0.2039820678785559,0.3975479665350494,-0.899424829173519,0.39420559901860663,-0.8216695044711599,0.40735278130451036,-0.5471466591160521,0.01884837983351062,-0.3532013886612475,-0.11109647101368836,-0.6835165290014302,0.3052255769856078
0.91,2194 2125 2058,0.4,0.8,0.38252389094738326,0.8157439656376193,0.43019206844497804,0.7921170088089677,-0.11504628159689605,-0.03532735540624373,-1.2762299456559774,0.8269908081782376,-1.1471137816869614,0.8258128211041367,0.17932711587922512,-0.5442390514341593,0.41902003250736186,-0.7078331822381614,-1.1171833532807653,0.7077497623435374
0.92,2194 2125 2058,0.4,0.8,0.36145478595118286,0.8043218715122176,0.40914487413617917,0.7806875679891141,-0.10253075537771779,-0.14899918140010185,-1.5173173869881396,0.9524202570786073,-1.431265152571548,0.9160686034913095,-0.14891509215176768,-0.33638992112259025,-0.04254533507747027,-0.47871931009568947,-1.3473803928663983,0.7905117369832109
0.93,2194 2125 2058,0.4,0.8,0.3699612802138347,0.8013979110280074,0.4176596529883931,0.7778039959765067,-0.07689495930978116,-0.11893515850711679,-1.9242451008916817,1.081247152943508,-1.8246787431143758,1.03832711617971,-0.5059165339763254,-0.2540159884427897,-0.39260338613415513,-0.43325127714618716,-1.7887564920055468,0.8317131448953088
0.94,2194 2125 2058,0.4,0.8,0.3820806630902161,0.7972297618212877,0.4297662078930672,0.7737086971425071,-0.035794947339842814,-0.07866451818525927,-2.035562235677787,1.2745287822942792,-1.9309998444468448,1.2513230515488836,-0.6025925176963511,-0.07247625526221846,-0.4425117906517926,-0.31120368144761557,-1.9241165303577787,0.9937305989868772
0.95,2058 2195 2125,0.3333333333333333,0.6666666666666666,0.32512626104372006,0.6629000126110748,0.4067987304869325,0.651759069099354,-0.018170338402197353,-0.00854643540390051,-1.9080604767469609,1.5336139774955093,-2.0628282460498397,1.0659825597705108,-0.6033238300067083,-0.024216129805090247,-0.5364572808877313,-0.8612996508042894,-2.1420508854552516,0.44237366477160656
0.96,2125 2058 2194,0.3333333333333333,0.6666666666666666,0.34524009293082514,0.6726118831305644,0.39528230225892436,0.638379287892858,0.027457774043146616,0.013245167530898477,-2.3682985710457842,1.3900401623070664,-2.5130054385251057,0.8945951211275709,-1.062957018877043,-0.16919788776473155,-1.025739618551416,-1.0372494732816282,-2.5407472511571534,0.38203296900706896
0.97,2125 2058 2194,0.3333333333333333,0.6666666666666666,0.34504366917694845,0.6020177008742654,0.39668715007032873,0.6974337415619419,0.016040056403239616,-0.13464520044824324,-2.7408608510839656,1.4382230821031978,-2.9220092997522116,0.9427881457497982,-1.3150154107727445,-0.17107192728130016,-1.3161357630704202,-0.8894534985192006,-2.865198659729103,0.6975019585460966
0.98,2058 2194 1989,0.2,0.4,0.21207999338470732,0.39503928278407946,0.46388024324807076,0.7789255289947329,0.014088459008094661,0.008261347162891055,-3.2548665635909373,1.049710951910198,-3.20542191177249,1.0693642884656,-1.822265115400704,-0.2892581955171991,-1.5286960906305005,-0.6506559538039003,-3.1253287337672653,0.9561894929083987
0.99,2058 2194 1989,0.2,0.4,0.21305573834532485,0.40067116217707477,0.464028758795175,0.7801916976879973,0.009240074797592398,0.01354911261913906,-3.3669431707022213,1.1204760102655076,-3.320671033706237,1.14897709249961,-1.9227838060305515,-0.20672059961009204,-1.6463011196611852,-0.5640928823335898,-3.2496704829268666,1.039639106056109
1.0,2058 2194 1989,0.2,0.4,0.2064023455922526,0.401618615944673,0.4625262096087488,0.7803240244782326,0.0032122097539098054,0.007625701681311134,-3.352362498163373,1.1686999274925967,-3.3421098120464308,1.2009396596928,-1.8909656771079142,-0.178208706754301,-1.6509227569046523,-0.5207633205086992,-3.286854742309078,1.0956456463481974
